"Molecule","Potency","pIC50","Outcome","is_active"
"[H]N(C(=O)C1([H])C2=C([H])C(Cl)=C([H])C(OC([H])([H])C3=C([H])C([H])=C([H])N=C3[H])=C2OC([H])([H])C1([H])[H])C1=C([H])N=C([H])C2=C([H])C([H])=C([H])C([H])=C12",24.9397469337591,4.603107957667001,"Inactive",0
"[H]N(C(=O)C([H])([H])C1=C([H])C([H])=C([H])C(Cl)=C1[H])C1=C2C([H])=NN([H])C2=C([H])N=C1[H]",21.8158142685698,4.661228572466436,"Inactive",0
"[H]N(C(=O)C([H])([H])C1=C([H])C([H])=C([H])C(Cl)=C1[H])C1([H])C2=C([H])C([H])=C([H])C([H])=C2C([H])([H])OC1([H])[H]",68.9520443122952,4.161452853195345,"Inactive",0
"[H]N(C(=O)C([H])([H])C1=C([H])C([H])=C([H])C(Cl)=C1[H])C1=C([H])N=C([H])C([H])=C1OC([H])([H])[H]",21.5515545541569,4.666521397895721,"Inactive",0
"[H]N(C(=O)C([H])([H])C1=C([H])C([H])=C([H])C(Cl)=C1[H])C1=C([H])N=C([H])C([H])=C1OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]",22.9226567408969,4.639735048962697,"Inactive",0
"[H]N(C(=O)C([H])([H])C1=C([H])C([H])=C([H])C(Cl)=C1[H])C1=C2C([H])=C([H])C([H])=C([H])N2N=C1[H]",11.3460157722443,4.945156617052481,"Inactive",0
"[H]N(C(=O)C([H])([H])C1=C([H])C([H])=C([H])C(Cl)=C1[H])C1=C([H])N=C([H])C2=NC([H])=C([H])N=C12",76.0415338327822,4.1189491315699405,"Inactive",0
"[H]N(C(=O)C([H])([H])C1=C([H])C([H])=C([H])C(Cl)=C1[H])C1=C([H])N=C([H])C2=C1N([H])C([H])([H])C([H])([H])C2([H])[H]",37.9977889365768,4.420241673924807,"Inactive",0
"[H]N(C(=O)C([H])([H])C1=C([H])C([H])=C([H])C(Cl)=C1[H])C1=C([H])N=C(C#N)C2=C([H])C([H])=C([H])C([H])=C12",65.9490931686178,4.1807911718321416,"Inactive",0
"[H]N(C(=O)C([H])(N(C(=O)C1=C([H])OC([H])=N1)C1=C([H])C([H])=C(C([H])=C1[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C1=C([H])C([H])=C([H])N=C1[H])C([H])([H])C([H])([H])C1=C([H])N([H])C([H])=N1",14.4523301984097,4.840062124483682,"Inactive",0
